Tran_Id,Cust_Id,Acct_Nbr,Channel_Nbr,Merchant_SIC,Session_Id,Tran_Duration,Tran_Date,Tran_Time,Tran_Amt,Principal_Amt,Interest_Amt,New_Balance,Merchant_Name,Merchant_City,Merchant_State,Merchant_Postal_Code,Tran_Code,Channel
1,1362480,4561143213624800,1,900,45,62,1995-01-03T00:00:00,170031,163,140.36,22.64,1467.04,null,null,null,null,PM,C
1,1362484,4561143213624840,1,null,808,25,1995-01-05T00:00:00,195414,1293.59,1278.78,14.81,0,null,null,null,null,PM,C
1,1362485,4561143213624850,0,null,1313,0,1995-01-03T00:00:00,null,191.24,187.26,3.98,95.12,null,null,null,null,PM,M
1,1362487,4561143213624870,0,800,1998,35,1995-08-15T00:00:00,84200,254.98,254.98,0,254.98,Bed Bug Inn         ,Los Angeles         ,CA,90097,CG,E
1,1362489,4561143213624890,0,900,2268,21,1995-01-02T00:00:00,191227,1200.7,1200.7,0,2666.11,Mainframe Mania     ,New York City       ,NY,10157,CG,E
1,1362492,4561143213624920,0,200,2492,30,1995-08-15T00:00:00,133533,38.64,38.64,0,38.64,Randy's Records     ,Houston             ,TX,77261,CG,E
1,1362499,4561143213624990,0,null,3010,0,1995-01-03T00:00:00,null,106.1,91.36,14.74,954.94,null,null,null,null,PM,M
1,1362501,4561143213625010,0,null,3080,0,1995-01-02T00:00:00,null,678.45,632.93,45.52,2599.26,null,null,null,null,PM,M
1,1362506,4561143213625060,0,400,3567,15,1995-06-13T00:00:00,165234,163.51,163.51,0,163.51,Ollie's Oil Co.     ,San Francisco       ,CA,94162,CG,E
1,1362509,4561143213625090,0,1100,4557,42,1995-01-02T00:00:00,133251,53.66,53.66,0,931.15,Harry's Hardware    ,Indianapolis        ,IN,46262,CG,E
1,1362511,4561143213625110,0,200,5701,25,1995-05-09T00:00:00,220722,228.92,228.92,0,228.92,Larry's Luggage     ,New York City       ,NY,10135,CG,E
1,1362512,4561143213625120,0,null,6157,0,1995-01-07T00:00:00,null,42.91,36.36,6.55,529.2,null,null,null,null,PM,M
1,1362516,4561143213625160,0,null,6439,0,1995-01-04T00:00:00,null,32.81,31.16,1.65,85.98,null,null,null,null,PM,M
1,1362520,4561143213625200,0,null,6689,0,1995-01-07T00:00:00,null,326.52,304.32,22.2,1272.26,null,null,null,null,PM,M
1,1362525,4561143213625250,0,500,7424,42,1995-01-02T00:00:00,125603,58.98,58.98,0,2960.66,Wing-and-Prayer Air ,Chicago             ,IL,60617,CG,E
1,1362526,4561143213625260,0,null,8337,0,1995-01-04T00:00:00,null,333.83,282.86,50.97,4117.2,null,null,null,null,PM,M
1,1362528,4561143213625280,0,null,8580,0,1995-01-02T00:00:00,null,582.01,575.35,6.66,0,null,null,null,null,PM,M
1,1362529,4561143213625290,0,null,8881,0,1995-01-04T00:00:00,null,150.25,129.38,20.87,1352.26,null,null,null,null,PM,M
1,1362530,4561143213625300,0,400,9323,37,1995-01-03T00:00:00,25230,134.27,134.27,0,731.5,Ollie's Oil Co.     ,New York City       ,NY,10055,CG,E
1,1362531,4561143213625310,0,1000,9896,39,1995-01-02T00:00:00,111217,183.89,183.89,0,2200,Wally World         ,New York City       ,NY,10195,CG,E
1,1362535,4561143213625350,1,null,10446,61,1995-01-05T00:00:00,145938,207.15,204.27,2.88,0,null,null,null,null,PM,C
1,1362541,4561143213625410,1,null,11710,31,1995-03-30T00:00:00,225914,0,0,0,0,null,null,null,null,IQ,V
1,1362543,4561143213625420,0,200,11785,0,1995-01-05T00:00:00,null,886.02,855.47,30.55,1314.06,null,null,null,null,PM,M
1,1362546,4561143213625460,0,null,12168,0,1995-01-03T00:00:00,null,1534.27,1507.16,27.11,833.45,null,null,null,null,PM,M
1,1362547,4561143213625470,0,1300,12707,16,1995-04-24T00:00:00,151152,26.25,26.25,0,26.25,Arnie's Auto Parts  ,New York City       ,NY,10145,CG,E
1,1362548,4561143213625480,0,null,12800,0,1995-01-03T00:00:00,null,7045.93,6965.25,80.68,0,null,null,null,null,PM,M
1,1362549,4561143213625490,0,null,13014,0,1995-01-01T00:00:00,null,828.67,814.33,14.34,203.71,null,null,null,null,PM,M
1,1362552,4561143213625520,0,1100,13235,40,1995-01-03T00:00:00,141928,14.62,14.61,0,382.03,Linda's Lighting    ,Riverside           ,CA,92502,CG,E
1,1362557,4561143213625570,0,200,14376,18,1995-11-10T00:00:00,183211,43.83,43.83,0,43.83,Buy The Book        ,Oakland             ,CA,94610,CG,E
1,1362562,4561143213625620,0,800,14804,38,1995-11-05T00:00:00,90644,725.82,725.82,0,725.82,Flea Trap Motel     ,Los Angeles         ,CA,90148,CG,E
1,1362564,4561143213625630,0,100,15382,21,1995-08-10T00:00:00,200219,106.91,106.91,0,106.91,The Big Squid       ,Chicago             ,IL,60618,CG,E
1,1362565,4561143213625650,0,100,15824,23,1995-01-04T00:00:00,221945,15.48,15.48,0,844.55,Fifi's Cabaret      ,Long Beach          ,CA,90749,CG,E
1,1362566,4561143213625660,0,null,16350,0,1995-01-05T00:00:00,null,1120.13,1052.51,67.62,3748.72,null,null,null,null,PM,M
1,1362569,4561143213625690,1,null,17114,20,1995-12-06T00:00:00,115728,0,0,0,0,null,null,null,null,IQ,V
1,1362571,4561143213625710,0,null,17542,0,1995-01-01T00:00:00,null,65.56,56.46,9.1,590.02,null,null,null,null,PM,M
1,1362572,4561143213625720,0,null,17732,0,1995-01-07T00:00:00,null,384.6,379.26,5.34,0,null,null,null,null,PM,M
1,1362574,4561143213625740,0,700,18570,28,1995-06-03T00:00:00,150703,70.29,70.29,0,70.29,Soupy's Supermarket ,New York City       ,NY,10158,CG,E
1,1362577,4561143213625770,0,1100,18798,17,1995-04-15T00:00:00,3017,389.53,389.53,0,389.53,Harry's Hardware    ,Los Angeles         ,CA,90189,CG,E
1,1362578,4561143213625780,0,null,18962,0,1995-01-02T00:00:00,null,109.83,108.25,1.58,27.89,null,null,null,null,PM,M
1,1362580,4561143213625800,0,null,19885,0,1995-01-02T00:00:00,null,45.53,39.21,6.32,409.75,null,null,null,null,PM,M
1,1362584,4561143213625840,0,200,20230,35,1995-09-13T00:00:00,202037,102.43,102.43,0,102.43,Carrie's Cards      ,Chicago             ,IL,60604,CG,E
1,1362586,4561143213625860,7,null,21240,231,1995-01-02T00:00:00,111224,104.27,88.35,15.92,1285.93,null,null,null,null,PM,B
1,1362587,4561143213625870,0,null,21811,0,1995-01-07T00:00:00,null,299.3,286.91,12.39,592.56,null,null,null,null,PM,M
1,1362589,4561143213625880,0,100,22684,36,1995-01-01T00:00:00,124520,166.52,166.52,0,619.97,The Big Squid       ,Seattle             ,WA,98107,CG,E
1,1362591,4561143213625910,0,null,23442,0,1995-01-02T00:00:00,null,202.5,192.61,9.89,660.89,null,null,null,null,PM,M
1,1362592,4561143213625920,0,null,24111,0,1995-01-02T00:00:00,null,213.65,183.98,29.67,1922.84,null,null,null,null,PM,M
1,1362593,4561143213625930,0,1300,24536,41,1995-06-01T00:00:00,112938,64.85,64.85,0,64.85,Arnie's Auto Parts  ,New York City       ,NY,10219,CG,E
1,1362595,4561143213625940,0,null,25144,0,1995-01-05T00:00:00,null,482.59,387.82,94.77,9169.18,null,null,null,null,PM,M
1,1362597,4561143213625970,0,null,25828,0,1995-01-03T00:00:00,null,163.86,150.63,13.23,788.43,null,null,null,null,PM,M
1,1362598,4561143213625980,0,null,26375,0,1995-01-02T00:00:00,null,227.41,202.03,25.38,1599.85,null,null,null,null,PM,M
1,1362602,4561143213626020,0,null,26646,0,1995-01-07T00:00:00,null,4882.53,4826.62,55.91,0,null,null,null,null,PM,M
1,1362605,4561143213626050,0,null,27442,0,1995-01-05T00:00:00,null,353.36,343.43,9.93,361.78,null,null,null,null,PM,M
1,1362606,4561143213626060,0,100,27548,35,1995-05-09T00:00:00,113917,25.34,25.34,0,25.34,Sushi To Go         ,Phoenix             ,AZ,85039,CG,E
1,1362609,4561143213626090,0,400,28761,44,1995-01-03T00:00:00,180048,158.1,158.12,0,1933.17,Ollie's Oil Co.     ,Honolulu            ,HI,96810,CG,E
